Date,Open,High,Low,Close,Adj Close,Volume
2006-01-16,14000.000000,14140.000000,13920.000000,14120.000000,10329.855469,19141550
2006-01-17,14140.000000,14420.000000,13940.000000,13940.000000,10198.175781,21328900
2006-01-18,13700.000000,13780.000000,13460.000000,13600.000000,9949.436523,30346800
2006-01-19,13640.000000,13900.000000,13600.000000,13800.000000,10095.753906,19527000
2006-01-20,14040.000000,14160.000000,13700.000000,13740.000000,10051.859375,23040500
2006-01-23,13540.000000,13900.000000,13420.000000,13700.000000,10022.594727,26815250
2006-01-24,13660.000000,14000.000000,13600.000000,13940.000000,10198.175781,29027200
2006-01-25,14180.000000,14400.000000,14100.000000,14220.000000,10403.017578,29240350
2006-01-26,14280.000000,14360.000000,14100.000000,14340.000000,10490.806641,18556250
2006-01-27,14400.000000,14480.000000,14260.000000,14400.000000,10534.700195,15678300
2006-01-31,14460.000000,14820.000000,14380.000000,14800.000000,10827.331055,22323350
2006-02-01,14700.000000,14860.000000,14460.000000,14580.000000,10666.383789,22008350
2006-02-02,14760.000000,14780.000000,14400.000000,14500.000000,10607.858398,19091550
2006-02-03,14360.000000,14360.000000,14040.000000,14080.000000,10300.597656,22207700
2006-02-06,14000.000000,14120.000000,13860.000000,14120.000000,10329.855469,21292250
2006-02-07,14180.000000,14600.000000,14120.000000,14120.000000,10329.855469,16585550
2006-02-08,14000.000000,14180.000000,13700.000000,13820.000000,10110.379883,19114600
2006-02-09,13920.000000,13940.000000,13740.000000,13860.000000,10139.644531,18383250
2006-02-10,13840.000000,13920.000000,13580.000000,13740.000000,10051.859375,21849750
2006-02-13,13720.000000,13740.000000,13360.000000,13500.000000,9876.277344,24189900
2006-02-14,13400.000000,13540.000000,13260.000000,13460.000000,9847.013672,25982850
2006-02-15,13560.000000,13560.000000,13080.000000,13080.000000,9569.019531,33419850
2006-02-16,13020.000000,13140.000000,12920.000000,13140.000000,9612.909180,24749200
2006-02-17,13220.000000,13480.000000,13200.000000,13460.000000,9847.013672,21790650
2006-02-20,13360.000000,13680.000000,13340.000000,13660.000000,9993.334961,16332050
2006-02-21,13640.000000,13660.000000,13400.000000,13460.000000,9847.013672,17356300
2006-02-22,13380.000000,13580.000000,13260.000000,13400.000000,9803.122070,24953700
2006-02-23,13420.000000,13680.000000,13420.000000,13620.000000,9964.070313,16389950
2006-02-24,13560.000000,13640.000000,13500.000000,13540.000000,9905.545898,14116450
2006-02-27,13560.000000,13820.000000,13540.000000,13820.000000,10110.379883,11793500
2006-02-28,13880.000000,13960.000000,13660.000000,13740.000000,10051.859375,12647050
2006-03-02,13920.000000,14000.000000,13680.000000,13860.000000,10139.644531,15105700
2006-03-03,13640.000000,13680.000000,13000.000000,13080.000000,9569.019531,37932400
2006-03-06,13120.000000,13160.000000,12980.000000,13160.000000,9627.544922,22717900
2006-03-07,13000.000000,13040.000000,12540.000000,12600.000000,9217.864258,39482000
2006-03-08,12300.000000,12520.000000,12160.000000,12460.000000,9115.441406,49381050
2006-03-09,12320.000000,12580.000000,12220.000000,12360.000000,9042.283203,38599000
2006-03-10,12280.000000,12640.000000,12280.000000,12440.000000,9100.810547,28422100
2006-03-13,12580.000000,12640.000000,12480.000000,12640.000000,9247.126953,19012200
2006-03-14,12560.000000,12640.000000,12380.000000,12480.000000,9130.073242,17767050
2006-03-15,12580.000000,12740.000000,12560.000000,12600.000000,9217.864258,19438500
2006-03-16,12740.000000,12820.000000,12620.000000,12640.000000,9247.126953,14018000
2006-03-17,12580.000000,12800.000000,12440.000000,12740.000000,9320.281250,13567500
2006-03-20,12780.000000,12800.000000,12560.000000,12780.000000,9349.543945,9950600
2006-03-21,12760.000000,12800.000000,12600.000000,12680.000000,9276.385742,11453100
2006-03-22,12500.000000,12540.000000,12180.000000,12280.000000,8983.755859,30051700
2006-03-23,12280.000000,12380.000000,12080.000000,12160.000000,8895.968750,25534150
2006-03-24,12160.000000,12240.000000,12100.000000,12180.000000,8910.599609,17171750
2006-03-27,12100.000000,12580.000000,12100.000000,12500.000000,9144.705078,19508950
2006-03-28,12320.000000,12600.000000,12320.000000,12560.000000,9188.598633,15167900
2006-03-29,12420.000000,12520.000000,12300.000000,12520.000000,9159.335938,15189400
2006-03-30,12640.000000,12680.000000,12360.000000,12460.000000,9115.441406,14663350
2006-03-31,12400.000000,12600.000000,12360.000000,12600.000000,9217.864258,20635450
2006-04-03,12720.000000,12960.000000,12640.000000,12880.000000,9422.703125,20549650
2006-04-04,12920.000000,13120.000000,12860.000000,13060.000000,9554.392578,19369350
2006-04-05,13100.000000,13220.000000,12900.000000,12980.000000,9495.862305,12634700
2006-04-06,13180.000000,13320.000000,13060.000000,13160.000000,9627.544922,22420200
2006-04-07,13160.000000,13200.000000,12960.000000,13080.000000,9569.019531,17596300
2006-04-10,12900.000000,12980.000000,12740.000000,12840.000000,9393.437500,20369150
2006-04-11,12740.000000,12800.000000,12520.000000,12700.000000,9291.017578,15767900
2006-04-12,12640.000000,12660.000000,12520.000000,12600.000000,9217.864258,12271800
2006-04-13,12520.000000,12760.000000,12500.000000,12740.000000,9320.281250,21813050
2006-04-14,12760.000000,13280.000000,12700.000000,13120.000000,9598.281250,32653200
2006-04-17,13200.000000,13220.000000,12900.000000,12980.000000,9495.862305,13798350
2006-04-18,12960.000000,13200.000000,12880.000000,13160.000000,9627.544922,20338250
2006-04-19,13460.000000,13500.000000,13260.000000,13300.000000,9729.963867,21183350
2006-04-20,13300.000000,13440.000000,13220.000000,13260.000000,9700.701172,17605300
2006-04-21,13400.000000,13940.000000,13340.000000,13800.000000,10095.753906,40474150
2006-04-24,13800.000000,13800.000000,13400.000000,13460.000000,9847.013672,31490750
